2019-02-06 205,13
2019-02-06 210,13
2019-02-06 215,23
2019-02-06 220,23
2019-02-06 225,23
2019-02-06 230,23
2019-02-06 235,23
2019-02-07 000,23
2019-02-07 005,23
2019-02-07 010,23
2019-02-07 015,23
2019-02-07 020,23
2019-02-07 025,23
2019-02-07 030,23
2019-02-07 035,23
2019-02-07 040,23
2019-02-07 045,23
2019-02-07 050,23
2019-02-07 055,23
2019-02-07 060,23
2019-02-07 065,23
2019-02-07 070,23
2019-02-07 075,23
2019-02-07 080,23
2019-02-07 085,23
2019-02-07 090,23
2019-02-07 095,23
2019-02-07 100,23
2019-02-07 105,23
2019-02-07 110,23
2019-02-07 115,23
2019-02-07 120,23
2019-02-07 125,23
2019-02-07 130,7
2019-02-07 135,7
2019-02-07 140,7
2019-02-07 145,2
2019-02-07 150,2
2019-02-07 155,2
2019-02-07 160,2
2019-02-07 165,2
2019-02-07 170,2
2019-02-07 175,2
2019-02-07 180,2
2019-02-07 185,2
2019-02-07 190,2
2019-02-07 195,2
2019-02-07 200,2
2019-02-07 205,2
2019-02-07 210,13
2019-02-07 215,13
2019-02-07 220,13
2019-02-07 225,13
2019-02-07 230,3
2019-02-07 235,3
2019-02-08 000,3
2019-02-08 005,3
2019-02-08 010,3
2019-02-08 015,3
2019-02-08 020,3
2019-02-08 025,3
2019-02-08 030,3
2019-02-08 035,3
2019-02-08 040,3
2019-02-08 045,3
2019-02-08 050,3
2019-02-08 055,3
2019-02-08 060,3
2019-02-08 065,3
2019-02-08 070,3
2019-02-08 075,3
2019-02-08 080,3
2019-02-08 085,3
2019-02-08 090,3
2019-02-08 095,3
2019-02-08 100,3
2019-02-08 105,3
2019-02-08 110,3
2019-02-08 115,3
2019-02-08 120,3
2019-02-08 125,3
2019-02-08 130,2
2019-02-08 135,2
2019-02-08 140,2
2019-02-08 145,2
2019-02-08 150,2
2019-02-08 155,2
2019-02-08 160,2
2019-02-08 165,7
2019-02-08 170,2
2019-02-08 175,2
2019-02-08 180,2
2019-02-08 185,2
2019-02-08 190,2
2019-02-08 195,2
2019-02-08 200,2
2019-02-08 205,2
2019-02-08 210,2
2019-02-08 215,2
2019-02-08 220,2
2019-02-08 225,2
2019-02-08 230,2
2019-02-08 235,2
2019-02-09 000,2
2019-02-09 005,2
2019-02-09 010,2
2019-02-09 015,0
2019-02-09 020,0
2019-02-09 025,0
2019-02-09 030,0
2019-02-09 035,0
2019-02-09 040,0
2019-02-09 045,0
2019-02-09 050,0
2019-02-09 055,0
2019-02-09 060,0
2019-02-09 065,0
2019-02-09 070,0
2019-02-09 075,0
2019-02-09 080,0
2019-02-09 085,0
2019-02-09 090,0
2019-02-09 095,0
2019-02-09 100,0
2019-02-09 105,0
2019-02-09 110,0
2019-02-09 115,0
2019-02-09 120,0
2019-02-09 125,0
2019-02-09 130,0
2019-02-09 135,0
2019-02-09 140,0
2019-02-09 145,0
2019-02-09 150,0
2019-02-09 155,0
2019-02-09 160,0
2019-02-09 165,0
2019-02-09 170,0
2019-02-09 175,0
2019-02-09 180,0
2019-02-09 185,0
2019-02-09 190,0
2019-02-09 195,0
2019-02-09 200,0
2019-02-09 205,0
2019-02-09 210,0
2019-02-09 215,0
2019-02-09 220,1
2019-02-09 225,2
2019-02-09 230,2
2019-02-09 235,2
2019-02-10 000,2
2019-02-10 005,2
2019-02-10 010,2
2019-02-10 015,2
2019-02-10 020,2
2019-02-10 025,2
2019-02-10 030,2
2019-02-10 035,2
2019-02-10 040,2
2019-02-10 045,2
2019-02-10 050,2
2019-02-10 055,2
2019-02-10 060,2
2019-02-10 065,2
2019-02-10 070,2
2019-02-10 075,2
2019-02-10 080,2
2019-02-10 085,2
2019-02-10 090,2
2019-02-10 095,2
2019-02-10 100,2
2019-02-10 105,2
2019-02-10 110,2
2019-02-10 115,2
2019-02-10 120,2
2019-02-10 125,2
2019-02-10 130,2
2019-02-10 135,2
2019-02-10 140,2
2019-02-10 145,2
2019-02-10 150,2
2019-02-10 155,2
2019-02-10 160,2
2019-02-10 165,2
2019-02-10 170,2
2019-02-10 175,2
2019-02-10 180,2
2019-02-10 185,2
2019-02-10 190,2
2019-02-10 195,2
2019-02-10 200,2
2019-02-10 205,2
2019-02-10 210,2
2019-02-10 215,13
2019-02-10 220,13
2019-02-10 225,13
2019-02-10 230,13
2019-02-10 235,13
2019-02-11 000,13
2019-02-11 005,13
2019-02-11 010,13
2019-02-11 015,13
2019-02-11 020,13
2019-02-11 025,13
2019-02-11 030,13
2019-02-11 035,13
2019-02-11 040,13
2019-02-11 045,13
2019-02-11 050,13
2019-02-11 055,13
2019-02-11 060,13
2019-02-11 065,13
2019-02-11 070,13
2019-02-11 075,13
2019-02-11 080,13
2019-02-11 085,13
2019-02-11 090,13
2019-02-11 095,13
2019-02-11 100,13
2019-02-11 105,13
2019-02-11 110,13
2019-02-11 115,13
2019-02-11 120,13
2019-02-11 125,13
2019-02-11 130,13
2019-02-11 135,13
2019-02-11 140,13
2019-02-11 145,13
2019-02-11 150,13
2019-02-11 155,13
2019-02-11 160,13
2019-02-11 165,13
2019-02-11 170,13
2019-02-11 175,13
2019-02-11 180,13
2019-02-11 185,13
2019-02-11 190,13
2019-02-11 195,2
2019-02-11 200,2
2019-02-11 205,7
2019-02-11 210,2
2019-02-11 215,2
2019-02-11 220,2
2019-02-11 225,2
2019-02-11 230,2
2019-02-11 235,2
2019-02-12 000,2
2019-02-12 005,2
